,OBJECTID,UtilityCompany,StartDateTime,ImpactedCustomers,County,FID,x,y,xp,yp,lon,lat,StartDate,StartTime
105,1193311.0,SCE,2020-04-05 16:59:05,37,RIVERSIDE,,0.6901700663780801,0.1420463586973182,-13090705.855601784,4011183.2294016327,-117.59581149999998,33.86868500000638,2020-04-05,16:59:05
106,1193317.0,PGE,2020-04-05 21:09:25,3,CALAVERAS,,0.383591864788567,0.6312271204454936,-13421885.626512166,4607073.255209258,-120.57084999999996,38.19544999999999,2020-04-05,21:09:25
107,1193329.0,PGE,2020-04-05 21:32:00,1,SIERRA,,0.35541073678343693,0.7802187563447194,-13452328.167659406,4788565.735501879,-120.84432,39.46545999999999,2020-04-05,21:32:00
108,1193336.0,PGE,2020-04-05 21:40:13,18,STANISLAUS,,0.34786952587395703,0.5773896152189284,-13460474.527995657,4541491.705631903,-120.9175,37.730979999999995,2020-04-05,21:40:13
226,1194345.0,SCE,2020-04-05 22:34:34,6,INYO,,0.8233886152208605,0.36352034065946937,-12946797.096733669,4280969.26177852,-116.303057123901,35.85704857053867,2020-04-05,22:34:34
187,1193724.0,PGE,2020-04-05 22:17:00,11,STANISLAUS,,0.361448445818505,0.580997738354633,-13445805.958693828,4545886.9001215,-120.78573,37.762199999999986,2020-04-05,22:17:00
183,1193449.0,PGE,2020-04-05 23:01:20,4,STANISLAUS,,0.37293956946589546,0.5750628247059213,-13433392.722275471,4538657.352020184,-120.67422000000002,37.71083999999998,2020-04-05,23:01:20
300,1193155.0,PGE,2020-04-05 16:37:09,29,SIERRA,,0.37586207208126865,0.8065348874656117,-13430235.70151657,4820622.433718597,-120.64585999999997,39.68742000000001,2020-04-05,16:37:09
135,1193471.0,PGE,2020-04-05 23:58:00,2,MERCED,,0.4172665969694851,0.5186781890787073,-13385508.64331074,4469973.044282934,-120.24406999999997,37.22112000000001,2020-04-05,23:58:00
134,1193469.0,PGE,2020-04-05 23:48:31,2,STANISLAUS,,0.3634620459984905,0.583476460293165,-13443630.775843726,4548906.3272850765,-120.76619,37.78363999999998,2020-04-05,23:48:31
133,1193468.0,PGE,2020-04-05 23:42:00,2,STANISLAUS,,0.36377222698834366,0.5833608322794075,-13443295.70417644,4548765.476324676,-120.76318,37.782639999999994,2020-04-05,23:42:00
132,1193467.0,PGE,2020-04-05 23:22:00,1,STANISLAUS,,0.36365474980281753,0.5833538946483325,-13443422.608395943,4548757.025327655,-120.76432,37.78258000000001,2020-04-05,23:22:00
131,1193463.0,PGE,2020-04-05 22:36:00,1,CALAVERAS,,0.37369389665716923,0.6302434514148274,-13432577.863602864,4605875.009877665,-120.66690000000001,38.186989999999994,2020-04-05,22:36:00
130,1193462.0,PGE,2020-04-05 23:52:18,15,NAPA,,0.20919286086843059,0.6413809381886395,-13610279.393145982,4619442.013733993,-122.26322000000002,38.282719999999976,2020-04-05,23:52:18
129,1193461.0,PGE,2020-04-05 23:56:59,4,CALAVERAS,,0.39125158338519483,0.6225431540618165,-13413611.248761509,4596494.9795346605,-120.49652000000002,38.12073000000001,2020-04-05,23:56:59
128,1193460.0,PGE,2020-04-05 22:54:00,1,STANISLAUS,,0.37220997431368197,0.5884082954003422,-13434180.864270285,4554913.986578121,-120.68129999999998,37.82627999999998,2020-04-05,22:54:00
127,1193459.0,PGE,2020-04-05 23:36:00,1,STANISLAUS,,0.37230581096503457,0.588490439654406,-13434077.337143846,4555014.049674427,-120.68036999999998,37.826989999999995,2020-04-05,23:36:00
126,1193457.0,PGE,2020-04-05 23:51:33,10,KERN,,0.5529228617050315,0.29554308251849193,-13238966.552435571,4198163.531718328,-118.92766000000002,35.25188,2020-04-05,23:51:33
73,1193299.0,PGE,2020-04-05 20:36:19,1,CONTRA COSTA,,0.20476273437214232,0.597077139010056,-13615065.018055184,4565473.8406162355,-122.30621000000001,37.90117000000001,2020-04-05,20:36:19
125,1193451.0,PGE,2020-04-05 21:09:10,1,CALAVERAS,,0.3836949149513078,0.6310864231913529,-13421774.307021376,4606901.866436524,-120.56985,38.19423999999998,2020-04-05,21:09:10
123,1193443.0,PGE,2020-04-05 23:27:00,1,CALAVERAS,,0.3829261607372487,0.6067727457817931,-13422604.750422694,4577284.434615852,-120.57731000000001,37.98483999999998,2020-04-05,23:27:00
122,1193441.0,PGE,2020-04-05 23:19:05,1,CALAVERAS,,0.3917431326614782,0.6219832784535559,-13413080.254790422,4595812.973379179,-120.49175000000001,38.11590999999997,2020-04-05,23:19:05
121,1193439.0,PGE,2020-04-05 23:11:51,1,ALAMEDA,,0.21679281037067533,0.5823965555672479,-13602069.580699977,4547590.85352708,-122.18947,37.77429999999999,2020-04-05,23:11:51
120,1193438.0,PGE,2020-04-05 23:12:00,1,CALAVERAS,,0.3877118102950021,0.6195757697994617,-13417435.073270252,4592880.293874585,-120.53087,38.09518,2020-04-05,23:12:00
119,1193432.0,PGE,2020-04-05 23:04:28,249,PLACER,,0.35908756659007857,0.7280028321110343,-13448356.288227905,4724959.496515732,-120.80864000000004,39.022949999999994,2020-04-05,23:04:28
118,1193426.0,PGE,2020-04-05 23:06:05,1,CALAVERAS,,0.382127521975999,0.607098557876673,-13423467.47647634,4577681.318943299,-120.58505999999998,37.987649999999995,2020-04-05,23:06:05
117,1193421.0,PGE,2020-04-05 22:57:37,1,TUOLUMNE,,0.42220888277459956,0.6152258688925625,-13380169.7605323,4587581.511162016,-120.19611000000002,38.05771,2020-04-05,22:57:37
116,1193420.0,PGE,2020-04-05 22:50:00,2,SANTA CRUZ,,0.21830249525484824,0.5103539924576799,-13600438.750159856,4459833.018085654,-122.17481999999998,37.14854999999999,2020-04-05,22:50:00
115,1193413.0,PGE,2020-04-05 22:38:21,43,MONTEREY,,0.25095084781485255,0.4475506724801921,-13565170.509086732,4383329.862425057,-121.858,36.598790000000015,2020-04-05,22:38:21
114,1193410.0,PGE,2020-04-05 22:31:19,24,SANTA CLARA,,0.25093951229695044,0.5375505456350029,-13565182.75423072,4492962.19249717,-121.85811000000001,37.38539,2020-04-05,22:31:19
113,1193409.0,PGE,2020-04-05 22:34:00,25,KERN,,0.49864221898216776,0.28439738265043557,-13297602.981016021,4184586.523173909,-119.45440000000002,35.15221999999999,2020-04-05,22:34:00
112,1193385.0,PGE,2020-04-05 22:23:47,1,STANISLAUS,,0.36176893182463665,0.5805584876062038,-13445459.755077459,4545351.831778088,-120.78261999999997,37.75839999999999,2020-04-05,22:23:47
111,1193359.0,PGE,2020-04-05 22:17:00,1,STANISLAUS,,0.3617019492188529,0.5819942276643078,-13445532.112746475,4547100.762331324,-120.78327,37.77081999999998,2020-04-05,22:17:00
110,1193354.0,PGE,2020-04-05 21:09:00,2,CALAVERAS,,0.3732023473808894,0.6180884032123686,-13433108.857573947,4591068.475047531,-120.67166999999999,38.082370000000004,2020-04-05,21:09:00
124,1193450.0,PGE,2020-04-05 23:40:25,1,SOLANO,,0.2554685669494763,0.6606470251954812,-13560290.262610352,4642910.780254351,-121.81415999999997,38.44802000000001,2020-04-05,23:40:25
72,1193294.0,PGE,2020-04-05 20:29:21,1,MENDOCINO,,0.09331707487126373,0.7272229912959975,-13735453.707763381,4724009.542225344,-123.38767999999995,39.01631999999998,2020-04-05,20:29:21
109,1193340.0,PGE,2020-04-05 21:51:18,1,SANTA CRUZ,,0.26429378288671934,0.491573901700185,-13550756.86141882,4436956.26241325,-121.72852000000002,36.98456999999999,2020-04-05,21:51:18
70,1193291.0,SDGE,2020-04-05 19:36:00,2,SAN DIEGO,,0.7272924213597936,0.08282822187342243,-13050604.592841562,3939047.324150239,-117.23557572749999,33.32894181849999,2020-04-05,19:36:00
34,1193196.0,PGE,2020-04-05 17:29:00,16,PLACER,,0.37082188862154375,0.7591421664524396,-13435680.33781127,4762891.525318379,-120.69476999999998,39.28717999999998,2020-04-05,17:29:00
